dnum,sales,pool,ev_expost,ev_exante
2013001,309153922,30000000,4.5764,-1.8540
2013002,303822912,61810900,4.8706,-1.6925
2013003,367773688,98882604,4.8023,-1.6458
2013004,337097616,35567995,4.5701,-1.8413
2013005,339352226,49335143,4.7406,-1.7804
2013006,374366198,82757304,4.6867,-1.6816
2013007,341246158,151606540,4.8361,-1.5754
2013008,341795384,170217234,4.7640,-1.5344
2013009,383674016,195572596,4.9880,-1.4605
2013010,347709230,224151420,5.1113,-1.4735
2013011,350274074,199912372,4.7031,-1.6538
2013012,389114476,260734911,5.0127,-1.4343
2013013,351745408,211416895,4.6456,-1.6630
2013014,348187310,150729380,4.6311,-1.6729
2013015,377989410,202682481,4.9721,-1.4345
2013016,327207104,165350088,4.6607,-1.6744
2013017,339247106,198644874,5.0308,-1.4340
2013018,364752666,193557090,4.6867,-1.6159
2013019,316958200,207401535,4.8892,-1.5409
2013020,337611102,233771560,4.9136,-1.4847
2013021,386291388,239758883,4.8341,-1.5844
2013022,349104140,238299864,4.7926,-1.6092
2013023,359844386,271259788,4.9664,-1.4345
2013024,397860528,222298732,4.6454,-1.6694
2013025,365053994,116448192,4.6436,-1.6927
2013026,357237076,140421744,4.9850,-1.4681
2013027,401897672,136259354,4.8110,-1.6123
2013028,363477764,144919914,4.7790,-1.5715
2013029,367189222,133260864,4.6446,-1.6266
2013030,405193314,146756785,4.8341,-1.5604
2013031,365951410,135583170,4.7471,-1.6292
2013032,365616360,185170708,5.1551,-1.4333
2013033,397248028,34224132,4.5568,-1.8705
2013034,339315898,47229360,4.7334,-1.7896
2013035,351498872,105954843,4.8446,-1.7155
2013036,393497514,118017567,4.8041,-1.5738
2013037,350336028,122337450,4.7419,-1.5880
2013038,328400842,140504290,4.9274,-1.5213
2013039,390740078,158541908,4.9593,-1.5451
2013040,352650578,135009567,4.6942,-1.6524
2013041,358260706,165669831,4.8585,-1.4352
2013042,396763590,191650228,4.9348,-1.5198
2013043,358568922,130914304,4.5685,-1.6904
2013044,355471956,113248452,4.6452,-1.6378
2013045,389847482,123007759,4.8108,-1.5725
2013046,352094234,143084851,4.9738,-1.5383
2013047,347274348,167906106,4.9480,-1.5100
2013048,379712106,55171877,4.7079,-1.7809
2013049,295889902,114803190,5.1178,-1.7129
2013050,331969178,116018802,4.7206,-1.6012
2013051,377856082,30000000,4.5810,-1.8806
2013052,320719928,48367032,4.7053,-1.7723
2013053,327360018,89705790,4.6841,-1.7165
2013054,367209526,101137064,4.6480,-1.7169
2013055,328924474,116004306,4.9055,-1.5474
2013056,330573576,138712270,4.9925,-1.5005
2013057,367207180,152624208,4.8197,-1.5517
2013058,338075776,138757060,4.6974,-1.6283
2013059,339381758,99230450,4.5921,-1.6857
2013060,368726696,110329152,4.5917,-1.7173
2013061,335064726,30000000,4.4354,-1.8656
2013062,313979568,83172610,4.7264,-1.7161
2013063,354390256,142799949,4.8240,-1.7157
2013064,328102052,172812165,5.1381,-1.4667
2013065,334460176,201675690,4.9107,-1.4735
2013066,368087166,182192048,4.6682,-1.6592
2013067,309743864,137776720,4.6628,-1.6668
2013068,329872238,135584520,4.7293,-1.6091
2013069,369339396,30000000,4.4959,-1.8814
2013070,296577242,58271360,4.6528,-1.7166
2013071,311914552,31637441,4.5612,-1.8474
2013072,351392580,83394408,4.6573,-1.7168
2013073,324559238,31466432,4.5862,-1.8539
2013074,320654782,76109739,4.7160,-1.7163
2013075,358276246,148151453,4.7756,-1.4320
2013076,326689120,213429920,5.4190,-1.4311
2013077,333114166,90631848,4.6131,-1.6938
2013078,355637236,125198288,4.6230,-1.7170
2013079,320512624,108592428,4.7994,-1.6346
2013080,327918824,126651295,4.9084,-1.5219
2013081,359745012,164579200,5.0156,-1.4342
2013082,326611872,177229420,4.7791,-1.5471
2013083,338036388,101908566,4.5533,-1.6992
2013084,373588034,101313260,4.7978,-1.6052
2013085,330145456,119563094,4.8738,-1.5447
2013086,326453274,147621963,5.0472,-1.4338
2013087,364306204,159824838,4.8377,-1.5579
2013088,332225112,203431818,5.0083,-1.4341
2013089,337088774,173879650,4.6648,-1.6519
2013090,372773264,30000000,4.4499,-1.8792
2013091,308670790,30000000,4.6708,-1.8522
2013092,311052518,39250888,4.6752,-1.8094
2013093,345826922,113583018,4.7774,-1.7159
2013094,320217972,85662203,4.6790,-1.6614
2013095,321839422,122220820,4.6568,-1.7167
2013096,364530978,133568694,4.8986,-1.5749
2013097,326153582,165973926,4.9328,-1.4346
2013098,333979300,61447820,4.5923,-1.7236
2013099,359490506,57365841,4.6295,-1.7598
2013100,324850520,110063013,4.5330,-1.4895
2013101,339246710,117330108,4.8225,-1.5628
2013102,374113680,112762404,4.8043,-1.6123
2013103,329389008,129386045,4.8801,-1.5286
2013104,339771188,161543208,5.0814,-1.4336
2013105,380197404,180328590,5.0171,-1.5182
2013106,344715810,192566520,4.8963,-1.5345
2013107,349907348,206293472,4.8651,-1.5593
2013108,384725718,244712259,5.1976,-1.4331
2013109,351155742,248456620,4.7732,-1.5871
2013110,341867256,271666100,5.1374,-1.4713
2013111,401502238,216014150,4.6670,-1.6614
2013112,344881702,199580280,4.8710,-1.6339
2013113,353992568,202421233,4.7545,-1.5949
2013114,398506774,240677850,5.1140,-1.4337
2013115,319974332,211959722,4.7158,-1.6537
2013116,312633700,259236778,4.9488,-1.4344
2013117,368579726,217864773,4.6829,-1.6534
2013118,343511272,243272184,5.0128,-1.5073
2013119,357071040,240588702,4.8668,-1.6100
2013120,404684072,36491411,4.5517,-1.8645
2013121,337100116,60671480,4.6168,-1.7292
2013122,345544080,75670240,4.6380,-1.7169
2013123,385822278,86159328,4.7363,-1.7164
2013124,347249642,107102896,4.6597,-1.7168
2013125,372984566,123047728,4.8224,-1.5045
2013126,408866622,162711340,5.1066,-1.4018
2013127,376726836,197309615,5.0238,-1.3350
2013128,381844688,201975928,4.8437,-1.5204
2013129,418710844,262553088,5.1783,-1.2932
2013130,385080972,256689792,4.8897,-1.5675
2013131,388319260,199798632,4.7040,-1.6442
2013132,420848208,124670825,4.7133,-1.6494
2013133,361709328,119827596,4.7655,-1.5663
2013134,372289714,82346272,4.7800,-1.6670
2013135,406720240,139074525,4.8770,-1.6035
2013136,369164734,116962560,4.7585,-1.5987
2013137,379293130,51312261,4.6031,-1.7968
2013138,402650432,74254260,4.7225,-1.7224
2013139,372082440,30000000,4.5721,-1.8786
2013140,359556480,76786944,4.8366,-1.6784
2013141,409703546,30000000,4.4881,-1.8900
2013142,356100256,63900184,4.7976,-1.7293
2013143,364973022,82747368,4.8095,-1.6584
